unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
329,object,cat,0.275215572297711,brown-c,182265724.0,3514276.0,1051345.0,0.005691293535374899,cat,4163987.0,2984290.0,1542733.0,0.275215572297711,head,4946761.0,2736821.0,907426.0,0.1339145674922478,fur,103280.0,457340.0,11823.0,0.02154348511380346,hunting_lodge-indoor-s,125440.0,159146.0,2894.0,0.010273632194027516,striped,2433536.0,204922.0,88252.0,0.03460583184260409
397,texture,dotted,0.26398064868048887,pink-c,18491188.0,3674159.0,222118.0,0.010122393563864279,bicycle,1152271.0,447374.0,35353.0,0.02260000051141347,wheel,1513439.0,203890.0,41273.0,0.02462507219329187,fabric,8548746.0,115706.0,26763.0,0.003098398194239223,nursery-s,827904.0,167300.0,7666.0,0.007762739256615947,dotted,2935296.0,2866992.0,1211800.0,0.26398064868048887
50,part,wheel,0.24056298180651067,grey-c,159331282.0,3353774.0,966680.0,0.005977551988278685,bicycle,1152271.0,2735283.0,486394.0,0.14300826776746756,wheel,1513439.0,2034818.0,688058.0,0.24056298180651067,carpet,4405463.0,329358.0,46259.0,0.009866351346105693,classroom-s,639744.0,597473.0,13607.0,0.011120373321564878,cobwebbed,1505280.0,157880.0,19160.0,0.011654501216545012
472,texture,cobwebbed,0.23877264580769147,blue-c,61494563.0,3457878.0,597305.0,0.009281388201867835,mountain,5469345.0,1041777.0,95260.0,0.014847576210336194,crosswalk,241792.0,178193.0,5180.0,0.012487795470160674,ceramic,679072.0,171890.0,6503.0,0.0077007883153593,mountain_snowy-s,1793792.0,567990.0,51621.0,0.022345195854314916,cobwebbed,1505280.0,1936848.0,663468.0,0.23877264580769147
126,object,mountain,0.23745344914309185,blue-c,61494563.0,3598798.0,949900.0,0.014808991987507503,mountain,5469345.0,3303653.0,1683440.0,0.23745344914309185,cloud,129326.0,186612.0,2310.0,0.007365413802339074,foliage,30325.0,59673.0,1619.0,0.01831883139659872,mountain_snowy-s,1793792.0,2058302.0,534069.0,0.16095990837923163,potholed,1580544.0,443661.0,31003.0,0.015554369301254966
46,texture,knitted,0.2317549103798007,purple-c,10857154.0,3482105.0,141325.0,0.009953913012977803,sheep,811669.0,1170136.0,131458.0,0.07104505263066874,torso,7669375.0,450955.0,259788.0,0.03304962940214555,food,1104928.0,107278.0,7854.0,0.006521349240089277,mountain_snowy-s,1793792.0,541018.0,76498.0,0.03387397312683101,knitted,1856512.0,2080848.0,740815.0,0.2317549103798007
353,part,wheel,0.21018971499967187,black-c,139916835.0,3054599.0,950136.0,0.006690095171500264,bicycle,1152271.0,2022652.0,325625.0,0.11428253555788127,wheel,1513439.0,1400100.0,506033.0,0.21018971499967187,metal,3462561.0,359500.0,24955.0,0.00657211044411191,dining_room-s,5694976.0,489903.0,72060.0,0.011788341843591312,waffled,1555456.0,290332.0,53055.0,0.02959447949025315
407,part,screen,0.20851365827954574,blue-c,61494563.0,2912715.0,625213.0,0.009802332364121482,tvmonitor,1019561.0,1948780.0,306038.0,0.11495235516017523,screen,677188.0,850279.0,263545.0,0.20851365827954574,glass,2246777.0,448025.0,86177.0,0.03303541137572476,home_theater-s,313600.0,785453.0,17605.0,0.01627909987350293,,24924928.0,124801.0,96068.0,0.0038498559389742453
332,object,bird,0.18561082900748244,brown-c,182265724.0,3048574.0,798462.0,0.004327335893272597,bird,1030707.0,1986867.0,472410.0,0.18561082900748244,wing,323329.0,1432010.0,89137.0,0.05349711499566079,food,1104928.0,391803.0,18990.0,0.012850695757916983,hunting_lodge-indoor-s,125440.0,353240.0,3731.0,0.007855580283356738,scaly,1568000.0,428730.0,25310.0,0.012838461616499782
88,texture,honeycombed,0.17205932561316833,orange-c,30348501.0,3636208.0,232939.0,0.00690153434916154,dog,3793935.0,631585.0,103533.0,0.023954954052383775,muzzle,666221.0,236348.0,48126.0,0.056324412512010744,food,1104928.0,168847.0,10985.0,0.008698991914728497,geodesic_dome-outdoor-s,250880.0,254594.0,5223.0,0.010440758739112963,honeycombed,1555456.0,2557190.0,603740.0,0.17205932561316833
298,part,wheel,0.17200291842164384,black-c,139916835.0,2992207.0,881696.0,0.006207931252901114,bicycle,1152271.0,1958084.0,403817.0,0.14920056544559876,wheel,1513439.0,1308921.0,414209.0,0.17200291842164384,metal,3462561.0,512327.0,34924.0,0.008864040382094861,car_interior-backseat-s,163072.0,440119.0,5610.0,0.00938784867658108,meshed,1756160.0,150072.0,11976.0,0.006322271118581649
260,texture,freckled,0.16997994097399338,pink-c,18491188.0,3023918.0,193380.0,0.009069622224767357,dog,3793935.0,1606278.0,349873.0,0.06927711797621547,hair,1159565.0,1454464.0,194952.0,0.08058941488840578,skin,177664.0,446113.0,6690.0,0.0108412590121004,casino-indoor-s,652288.0,170109.0,13116.0,0.01620697878734333,freckled,1555456.0,446905.0,290912.0,0.16997994097399338
490,part,screen,0.1651155232241351,blue-c,61494563.0,3053007.0,613345.0,0.009593375066327934,tvmonitor,1019561.0,1592248.0,170028.0,0.0696327803353372,screen,677188.0,541651.0,172729.0,0.1651155232241351,glass,2246777.0,380158.0,55711.0,0.0216671126280713,cockpit-s,539392.0,784489.0,20398.0,0.015648842370786578,cobwebbed,1505280.0,696560.0,113763.0,0.0544821862412162
187,texture,waffled,0.16457042304080363,orange-c,30348501.0,3195860.0,361120.0,0.010882601853146292,dog,3793935.0,1451238.0,239175.0,0.04777768588800874,muzzle,666221.0,711380.0,93778.0,0.0730458949559246,food,1104928.0,471930.0,76947.0,0.051301043861935805,bakery-shop-s,715008.0,505239.0,27480.0,0.023038866769452878,waffled,1555456.0,861469.0,341546.0,0.16457042304080363
509,texture,chequered,0.16322596991488708,pink-c,18491188.0,3430224.0,164871.0,0.0075779968883840495,flower,591549.0,871345.0,29840.0,0.02082266264913953,crosswalk,241792.0,111208.0,2696.0,0.007696172467342648,carpet,4405463.0,178897.0,46061.0,0.010149397384350393,village-s,188160.0,524728.0,14208.0,0.020335489780729372,chequered,1530368.0,2188384.0,521822.0,0.16322596991488708
26,object,bus,0.16293104897185023,black-c,139916835.0,3223294.0,969334.0,0.006818095094706335,bus,1628191.0,2038976.0,513784.0,0.16293104897185023,muzzle,666221.0,1285347.0,92433.0,0.04971828296492724,glass,2246777.0,550670.0,93509.0,0.034582523711712325,bus_depot-outdoor-s,163072.0,723434.0,18748.0,0.02160510188324394,,24924928.0,97501.0,86064.0,0.0034513450536996873
114,object,motorbike,0.1612626342928868,black-c,139916835.0,3145992.0,1270256.0,0.008958551150045794,motorbike,1440771.0,2152589.0,499004.0,0.1612626342928868,wheel,1513439.0,1539524.0,188348.0,0.0657498477107744,metal,3462561.0,401761.0,44932.0,0.011764182238525,cockpit-s,539392.0,429333.0,29194.0,0.03107295022729425,studded,1593088.0,198392.0,17365.0,0.0097879787950612
213,object,dog,0.1601902568885159,brown-c,182265724.0,3088160.0,1062792.0,0.005766920085318069,dog,3793935.0,2380188.0,852476.0,0.1601902568885159,head,4946761.0,2042098.0,436008.0,0.06653714543486491,fur,103280.0,378039.0,9326.0,0.01975876760884165,pasture-s,852992.0,217204.0,6883.0,0.006473164533867262,matted,1593088.0,255320.0,43148.0,0.023901266299591193
23,part,screen,0.1585574859007009,blue-c,61494563.0,3329887.0,1237423.0,0.019460305952030122,water,5662399.0,2855102.0,1033937.0,0.1381610419848083,screen,677188.0,527443.0,164863.0,0.1585574859007009,glass,2246777.0,211942.0,78583.0,0.033016180588000016,coast-s,1103872.0,1060756.0,117406.0,0.0573489343119603,,24924928.0,240376.0,216511.0,0.00867821541507038
238,part,screen,0.1583764999016458,blue-c,61494563.0,2976969.0,1192894.0,0.01885144873061269,tvmonitor,1019561.0,1672501.0,191229.0,0.07646612148832009,screen,677188.0,736124.0,193232.0,0.1583764999016458,glass,2246777.0,489598.0,65917.0,0.02468378083459841,swimming_pool-outdoor-s,263424.0,708464.0,12753.0,0.013296355570383729,crystalline,1530368.0,405443.0,35211.0,0.018526254866884143
287,texture,dotted,0.1573727017031827,pink-c,18491188.0,2755258.0,162716.0,0.007717609739832563,cat,4163987.0,454409.0,107016.0,0.023721344688321534,eye,110350.0,247385.0,9880.0,0.028402639030630568,fur,103280.0,185511.0,1493.0,0.005196694721160604,bistro-indoor-s,125440.0,130660.0,1387.0,0.005445344367974935,dotted,2935296.0,1926439.0,661070.0,0.1573727017031827
507,object,cat,0.15558541110039056,black-c,139916835.0,3233604.0,1013174.0,0.007128137719548775,cat,4163987.0,2684375.0,922048.0,0.15558541110039056,torso,7669375.0,2442663.0,834417.0,0.0899386814787972,fur,103280.0,487540.0,20634.0,0.03618819122181182,hot_spring-s,163072.0,144715.0,2794.0,0.009160865987088224,matted,1593088.0,202138.0,55770.0,0.032061748040766766
464,object,cat,0.15536405188468902,black-c,139916835.0,3434535.0,888665.0,0.006237878187136767,cat,4163987.0,2883364.0,947671.0,0.15536405188468902,head,4946761.0,2645634.0,833064.0,0.1232465165561503,fur,103280.0,450501.0,17514.0,0.03265910451323687,hunting_lodge-indoor-s,125440.0,159149.0,1888.0,0.006678434105291454,matted,1593088.0,135469.0,25035.0,0.014696023884634304
310,texture,striped,0.1544994084753824,red-c,21004512.0,3187496.0,132304.0,0.005498987019956688,bird,1030707.0,1043675.0,35155.0,0.017239375508464726,head,4946761.0,494385.0,92650.0,0.017322626772086958,food,1104928.0,448491.0,24003.0,0.01569422576983633,wine_cellar-barrel_storage-s,263424.0,393252.0,15736.0,0.024551440072393668,striped,2433536.0,1222064.0,489206.0,0.1544994084753824
300,object,cat,0.15413767228913267,grey-c,159331282.0,3352196.0,884506.0,0.005466697279139697,cat,4163987.0,2803646.0,930543.0,0.15413767228913267,torso,7669375.0,2544626.0,880968.0,0.09439246598613762,fur,103280.0,407107.0,17673.0,0.035868678381373365,pasture-s,852992.0,176221.0,13821.0,0.013611491916422424,striped,2433536.0,184291.0,50274.0,0.019580511093636625
231,object,horse,0.1527344250937234,red-c,21004512.0,3128998.0,224320.0,0.009382166438929968,horse,1230680.0,2230042.0,458537.0,0.1527344250937234,torso,7669375.0,1819420.0,596351.0,0.06706266578681856,fur,103280.0,444471.0,11770.0,0.021959733647274805,pasture-s,852992.0,287412.0,16921.0,0.015061198077763526,braided,1568000.0,247752.0,37851.0,0.021289711856846923
64,texture,chequered,0.15222376654625744,white-c,72511065.0,3460105.0,576834.0,0.007650893032601282,ball,122639.0,738257.0,36459.0,0.04422290605589026,screen,677188.0,211898.0,34564.0,0.04044834422051158,glass,2246777.0,192400.0,24234.0,0.010035019460086636,ball_pit-s,275968.0,403238.0,40878.0,0.06403917735082904,chequered,1530368.0,2306256.0,506868.0,0.15222376654625744
